Date,Q,SCA,T,P,Day,Relative Humidity,Wind speed,Wind direction,Snow depth
1/1/2001,2.69,345.8151227,-4.1697395,0,1,60.49,3.18,220.08,0.00017
1/2/2001,2.53,343.6087273,-4.142604,0,2,53.93,1.86,210.97,0.000133
1/3/2001,2.53,341.4374171,-5.1487248,0,3,42.2,1.49,239.45,0.000128
1/4/2001,2.43,339.3362775,-6.5236949,0.03114401,4,40.48,1.91,249.2,0.000122
1/5/2001,2.53,337.3403936,-6.8601062,0,5,27.34,2.14,334.61,0.000116
1/6/2001,2.53,335.4848508,-7.1158237,0.816139162,6,27.99,1.6,241.15,0.00011
1/7/2001,2.53,333.8047343,-6.4150069,0,7,27.46,2.16,236,0.000104
1/8/2001,2.43,332.3351294,-7.2808409,0,8,28.98,2.3,236.88,0.000099
1/9/2001,2.37,331.1111212,-7.6728517,0,9,31.15,2.17,272.68,0.000095
1/10/2001,2.27,330.1432254,-8.1064783,0.038176529,10,27.34,2.22,274.35,0.00009
1/11/2001,2.37,329.3436787,-7.8696121,0,11,25.43,2.13,271.13,0.000084
1/12/2001,2.48,328.6001482,-7.6396685,0.03114401,12,29.02,2.28,242.57,0.000078
1/13/2001,2.48,327.8003007,-7.6256574,0.094436675,13,36.32,1.41,264,0.000074
1/14/2001,2.37,326.8318034,-7.3292427,0,14,30.98,1.71,275.42,0.000071
1/15/2001,2.37,325.5823233,-7.0604335,0,15,29.4,1.75,237.8,0.000067
1/16/2001,2.37,323.9395274,-6.0077182,0,16,22.19,1.18,235.56,0.000063
1/17/2001,2.37,321.7910827,-6.0832535,0.038176529,17,21.98,1.43,239.54,0.00006
1/18/2001,2.37,319.0517202,-6.4478405,0,18,23.97,1.89,252.68,0.000057
1/19/2001,2.27,315.7444269,-5.8134194,0.069320537,19,25.95,1.93,254.66,0.000053
1/20/2001,2.27,311.9192539,-5.5907788,0.070325181,20,26.03,2,258.24,0.00005
1/21/2001,2.37,307.626252,-5.500424,0.227049887,21,24.22,3,244.2,0.000047
1/22/2001,2.08,302.9154725,-5.33202,0,22,34.89,3.61,233.36,0.000044
1/23/2001,2.08,297.8369661,-6.3884309,0.038176529,23,51.89,2.49,253.36,0.000043
1/24/2001,2.08,292.440784,-7.3163891,0,24,31.63,2.83,281.39,0.00004
1/25/2001,2.03,286.776977,-7.3328586,0,25,24.18,2.85,271.76,0.000036
1/26/2001,2.08,280.9351903,-6.4523286,0.069320537,26,19.01,2.68,281.6,0.000031
1/27/2001,2.18,275.1634443,-5.8163066,0.03114401,27,18.08,2.35,292.43,0.000027
1/28/2001,2.08,269.7493538,-5.197854,0.081970446,28,18.24,1.87,292.96,0.000019
1/29/2001,2.08,264.9805334,-4.5490233,0.038176529,29,27.34,2.23,280.1,0.000013
1/30/2001,2.08,261.1445976,-4.1047735,0,30,28.5,1.88,263.47,0.000011
1/31/2001,2.08,258.529161,-2.77705304,0,31,38.83,2.68,245.98,0.000004
2/1/2001,2.08,257.4218383,-2.038091324,0.039990708,32,22.96,2.89,246.79,0
2/2/2001,2.03,258.1102441,-2.80461757,0.06228802,33,14.38,2.67,249.21,0
2/3/2001,1.99,260.7774801,-3.990581,0.025116136,34,14.85,2.05,219.67,0
2/4/2001,1.99,265.1885969,-4.998432,0.025116136,35,18.91,2.53,234.3,0
2/5/2001,1.99,271.004132,-4.6952263,0.052241568,36,16.79,2.99,251.08,0
2/6/2001,1.99,277.884623,-5.4541913,0,37,17.89,2.23,282.04,0
2/7/2001,1.99,285.4906078,-4.9791895,0.328603685,38,17.2,2.85,268.3,0
2/8/2001,1.99,293.4826238,-5.0468346,0.030139364,39,14.81,2.32,277.56,0
2/9/2001,1.99,301.5212087,-5.2365808,0.023106845,40,18.02,1.97,257.47,0
2/10/2001,1.99,309.2669001,-4.8814161,0.300401986,41,22.39,2.24,245.79,0
2/11/2001,1.99,316.4351521,-4.3995828,0,42,18.15,2.4,238.53,0
2/12/2001,1.99,322.9610837,-3.9355148,0.083385572,43,12.55,1.9,249.36,0
2/13/2001,1.99,328.8347306,-4.1984196,17.9825153,44,13.59,1.59,247.41,0
2/14/2001,1.94,334.0461282,-3.4068439,0.627520502,45,14.72,1.31,243.24,0
2/15/2001,1.94,338.5853121,-3.7988859,0.733976662,46,32.39,2.03,201.88,0.000001
2/16/2001,1.94,342.4423178,-3.1858361,0.053246211,47,49.92,1.05,201,0
2/17/2001,1.89,345.6071807,-3.2567962,0.013060391,48,47.5,1.95,219.48,0
2/18/2001,1.89,348.0699364,-3.3861346,0.564394176,49,46.61,1.67,232.75,0
2/19/2001,1.89,349.8393389,-3.4726094,0.03114401,50,41.39,1.29,257.69,0
2/20/2001,1.89,350.9990159,-4.0354719,0.180642799,51,49.42,2.2,213.03,0.000001
2/21/2001,1.89,351.6513134,-5.4286651,2.32529473,52,51.43,2.21,239.09,0
2/22/2001,1.89,351.8985775,-5.1750873,0.0110511,53,36.29,1.28,295.1,0
2/23/2001,1.89,351.8431543,-4.6618277,0,54,46.57,1.81,239.29,0
2/24/2001,1.89,351.5873901,-4.4994307,0.664331317,55,46.94,2.26,260.43,0.000001
2/25/2001,1.89,351.2336308,-4.8899156,4.21141291,56,67.75,2.95,218.76,0
2/26/2001,1.89,350.8842226,-4.5859005,0,57,50.88,3.04,221.35,0
2/27/2001,1.89,350.6190847,-4.8851979,0,58,29.9,2.04,229.73,0
2/28/2001,1.89,350.428429,-3.5767013,0.014065038,59,24.13,2.75,215.51,0
3/1/2001,1.89,350.2800406,-3.6594487,0,60,38.62,3.33,239.43,0
3/2/2001,1.89,350.1417043,-3.5305831,0.346702486,61,17.53,1.94,237.41,0
3/3/2001,1.72,349.9812052,-3.4508291,0.424754322,62,10.95,2.46,230.9,0
3/4/2001,1.72,349.7663282,-3.9310887,7.84229422,63,25.92,2.04,239.94,0
3/5/2001,1.8,349.4648585,-3.7660718,0.086824656,64,35.86,2.44,239.47,0
3/6/2001,1.76,349.044581,-3.9026559,0.024006739,65,32.26,1.13,269.47,0
3/7/2001,1.76,348.4883751,-3.5889584,0.024929557,66,27.28,2.05,217.21,0
